question_id,sweep,arm,budget,context,predicted_answer,gold_answer,em,f1,faithfulness,answer_relevance,human_faithfulness,human_agrees
mhrag_2117,primary,summarize_recomp,500,,Yes,"[""Yes""]",1,1.0,1.0,1.0,,
mhrag_2542,primary,naive_topk_dedup,2000,,Yes,"[""Yes""]",1,1.0,1.0,1.0,,
wtq_test_nt-961,structured,graph_select,500,,ISO/IEC 15288,"[""Systems and software engineering - Software life cycle processes""]",0,0.0,1.0,1.0,,
mhrag_780,primary,summarize_recomp,2000,,Google,"[""Google.""]",1,1.0,1.0,1.0,,
liverag_434,primary,compress_llmlingua,4000,,Lower lip with large papillated pad and medial interruption of 2–5 rows,"[""Paracanthocobitis is distinguished from all other genera in the family by the combination of: a lower lip with a large papillated pad on either side of a medial interruption, an upper lip with 2-5 rows of papillae that is continuous with lower lip, and a conspicuous black spot with white outline (an ocellus) on the upper half of caudal-fin base.""]",0,0.3492,1.0,1.0,,
wtq_test_nt-13620,structured,graph_select,500,,"February 22, 1989 | Portugal","[""February 22, 1989"", ""Portugal""]",0,0.8571,0.0,0.0,,
wtq_test_nt-11374,structured,graph_select,4000,,3,"[""3""]",1,1.0,0.0,0.0,,
wtq_test_nt-2764,structured,summarize_recomp,1000,,Catholicism,"[""Russia""]",0,0.0,1.0,1.0,,
mhrag_421,primary,compress_llmlingua,2000,,Yes,"[""Yes""]",1,1.0,1.0,1.0,,
wtq_test_nt-9782,structured,graph_select,500,,"The context provided does not contain information about a match in which Kaz was eliminated by Robert Roode. Therefore, the answer cannot be determined from the given text.","[""05:32""]",0,0.0,0.0,0.0,,
wtq_test_nt-6103,structured,summarize_recomp,2000,,2008,"[""2008""]",1,1.0,1.0,1.0,,
mhrag_1102,primary,compress_llmlingua,500,,consistent,"[""Consistent""]",1,1.0,1.0,1.0,,
msmarco_1101973,primary,rerank_topk,500,,To protect communities by informing them about nearby sex offenders.,"[""Megan's Law is a term that describes laws designed to provide information and notification to communities when a potentially dangerous sex offender moves into the neighborhood.""]",0,0.1818,1.0,1.0,,
wtq_test_nt-983,structured,rerank_topk,1000,,126 mph,"[""4,510""]",0,0.0,1.0,1.0,,
wtq_test_nt-9234,structured,naive_topk,4000,,5,"[""6""]",0,0.0,0.0,0.0,,
mhrag_2106,primary,graph_select,1000,,Google,"[""Google""]",1,1.0,1.0,1.0,,
wtq_test_nt-12405,structured,rerank_topk,500,,The Netherlands,"[""Spain""]",0,0.0,1.0,1.0,,
wtq_test_nt-2122,structured,graph_select,500,,Ohio State,"[""Borussia Dortmund""]",0,0.0,0.0,0.0,,
nq_2353810359858824661,primary,naive_topk,2000,,Eagles,"[""American rock band Eagles"", ""the American rock band Eagles"", ""Eagles""]",1,1.0,1.0,1.0,,
wtq_test_nt-13445,structured,graph_select,500,,"The context does not provide information about Webber's scoring average or seasons with over 20 points per game. Therefore, the answer cannot be determined from the given text.","[""11""]",0,0.0,1.0,1.0,,
wtq_test_nt-8423,structured,naive_topk_dedup,4000,,Over eighty film and television productions,"[""36""]",0,0.0,1.0,1.0,,
wtq_test_nu-1932,structured,naive_topk_dedup,500,,The context does not provide information about how often they finished in sixth place before 1992.,"[""Once""]",0,0.0,1.0,1.0,,
wtq_test_nt-13797,structured,naive_topk,4000,,Romeo Bonzo (PHI),"[""Conny Karlsson""]",0,0.0,0.0,0.0,,
wtq_test_nt-166,structured,naive_topk_dedup,500,,3:02.57,"[""3:02.57""]",1,1.0,1.0,1.0,,
squad_571c879bdd7acb1400e4c0ef,primary,naive_topk_dedup,1000,,spontaneous combustion,"[""spontaneous"", ""spontaneous combustion"", ""spontaneous"", ""spontaneous"", ""spontaneous combustion""]",1,1.0,1.0,1.0,,
nq_4406487793270061034,primary,rerank_topk,2000,,10 October 2015,"[""2015"", ""10 October 2015""]",1,1.0,1.0,1.0,,
mhrag_1237,primary,rerank_topk,2000,,Yes,"[""Yes""]",1,1.0,1.0,1.0,,
squad_57287d4a2ca10214002da3e5,primary,compress_llmlingua,1000,,"Liao, Jin, and Song dynasties","[""Tang, Song, as well as Khitan Liao and Jurchen Jin dynasties"", ""native Chinese dynasties"", ""Tang, Song, as well as Khitan Liao and Jurchen Jin dynasties""]",0,0.625,1.0,1.0,,
