question_id,dataset,question,gold_answers,hop_type,content_type,gold_titles,gold_passages,n_supporting_facts,gold_passage_ids
hotpot_5a809fe75542996402f6a5ba,hotpotqa,The Phillips Berlina is a neo-classic car that used stretched underpinings from a car that set a new sales record for what model year?,['1979'],multi,prose,['Chevrolet Corvette (C3)' 'Phillips Berlina'],"['The Chevrolet Corvette (C3) was a sports car that was produced by Chevrolet for the 1968 through 1982 model years. Engines and chassis components were mostly carried over from the previous generation, but the body and interior were new. It set new sales records with 53,807 produced for the 1979 model year. The C3 is the third generation of the Chevrolet Corvette, while the 1969 through 1976 models mark the second generation of the Corvette Stingray.'
 'The Phillips Berlina is a neo-classic car built in Pompano Beach, Florida in the early nineteen-eighties. Debuting in 1980, it was designed by Charles W. Phillips in the style of the 1936 Mercedes-Benz 540K Special Roadster. It used stretched C3 Chevrolet Corvette underpinnings, coupled to fibreglass bodywork. As for the Corvette, power steering and brakes, powered tinted windows, and tilt steering were fitted. The fuel injected 5.7 litre V8 engine in the 1982 Berlinas offers 200 hp at 4,200 rpm, for a top speed of around 180 km/h . The earlier carburetted version (L81) had 190 hp on tap. By 1982, a special ""Coupé SE"" version was also available.']",5,['p000103' 'p000105']
hotpot_5ab92f52554299131ca422a9,hotpotqa,"Of what ethnicity is the founder of the Orchestra which debuted on January 1, 1988?",['Dutch'],multi,prose,['André Rieu' 'Johann Strauss Orchestra'],"['André Léon Marie Nicolas Rieu (born 1 October 1949) is a Dutch violinist and conductor best known for creating the waltz-playing Johann Strauss Orchestra. Together they have turned classical and waltz music into a worldwide concert touring act, as successful as some of the biggest global pop and rock music acts.'
 'The Johann Strauss Orchestra was founded by André Rieu in 1987. At the time of its first concert on January 1, 1988, the orchestra consisted of 12 musicians. By 2008 the orchestra had expanded to 43 members and has performed regularly with guest musicians and singers such as Carla Maffioletti, Mirusia Louwerse, Carmen Monarcha and the Platin Tenors. The orchestra is well known for performing classical works with a distinctly unorthodox frivolity, joking with the audience and performing all sorts of antics.']",3,['p000114' 'p000118']
hotpot_5a8dafbd554299068b959da0,hotpotqa,How many episodes were made for the science fiction series with Gus Birney?,['ten'],multi,prose,['Gus Birney' 'The Mist (TV series)'],"['Gus Birney is an American actress, best known for her role as Alex in ""The Mist"".'
 'The Mist is an American science fiction-horror thriller television series developed by Christian Torpe for Spike. It is based on the horror novella of the same name by author Stephen King. The first season, consisting of ten episodes, premiered on June 22, 2017. On September 27, 2017, Spike cancelled the series after one season.']",4,['p000124' 'p000128']
hotpot_5a79257b55429974737f79a7,hotpotqa,What military formation were participated in by both Oscar W. Koch and General George Smith Patton Jr. ?,['Third Army'],multi,prose,['George S. Patton' 'Oscar Koch'],"['General George Smith Patton Jr. (November 11, 1885 – December 21, 1945) was a senior officer of the United States Army who commanded the U.S. Seventh Army in the Mediterranean and European theaters of World War II, but is best known for his leadership of the U.S. Third Army in France and Germany following the Allied invasion of Normandy in June 1944.'
 'Oscar W. Koch (January 10, 1897, Milwaukee, Wisconsin - May 16, 1970, Carbondale, Illinois) was a brigadier general in the U.S. Army and the Third Army intelligence officer (G-2) while the army was commanded by General George S. Patton in World War II.']",2,['p000133' 'p000137']
hotpot_5ade66f055429939a52fe8a0,hotpotqa,Easter Airways' head office is located at which airport owned by Manchester Airports Group?,['Humberside Airport'],multi,prose,['Eastern Airways' 'Humberside Airport'],"['Air Kilroe Limited, trading as Eastern Airways, is a British airline whose head office is at Humberside Airport in Kirmington, North Lincolnshire, England. It operates scheduled domestic and international services and private charter services. Around 800,000 passengers a year are carried on the scheduled route network.'
 'Humberside Airport (IATA: HUY, ICAO: EGNJ) is an international airport situated at Kirmington in the Borough of North Lincolnshire, England, 10 NM west of Grimsby and around 15 mi from both Kingston upon Hull and Scunthorpe, on the A18. Humberside Airport was owned by Manchester Airports Group (the largest UK-owned airport group) from 1999 until 1 August 2012, when it was sold to the Eastern Group of companies. North Lincolnshire Council retains a minority of shares in the Airport.']",3,['p000145' 'p000146']
hotpot_5a7bb7f2554299042af8f7b6,hotpotqa,"What Cantonese slang term can mean both ""ghost man"" and to refer to Westerners?",['Gweilo'],multi,prose,['Ghosts (2006 film)' 'Gweilo'],"['Ghosts is a 2006 drama film directed by Nick Broomfield, based on the 2004 Morecambe Bay cockling disaster. The title is a reference to the Cantonese slang term ""Gweilo"" (鬼佬), meaning ""ghost man"", used for white people.'
 'Gweilo or gwailou (, pronounced ] ) is a common Cantonese slang term for Westerners. In its unmodified form, it applies only to European ethnicities and has a history of racially deprecatory use. Cantonese speakers frequently use ""gwailou"" to refer to Westerners in general use, in a non-derogatory context, although whether this type of usage is offensive is disputed by both Cantonese and Westerners alike.']",2,['p000150' 'p000152']
hotpot_5a7e7d4655429934daa2fc2e,hotpotqa,"What of Nico van der Meel's operatic roles was starring in a libretto based loosely on the eight paintings and engravings ""A Rake's Progress""?","[""The Rake's Progress""]",multi,prose,"['Nico van der Meel' ""The Rake's Progress""]","['Nico van der Meel is a Dutch tenor. He made his debut with the Concertgebouw Orchestra during the 1987/1988 season and made a recording of Bach\'s ""St John Passion"", conducted by Sigiswald Kuijken. Between 1989 and 1996, he made several tours and recordings of Bach\'s ""Mass in B minor"" and ""St Matthew Passion"". He has since performed with conductors such as Nikolaus Harnoncourt, John Eliot Gardiner, Gustav Leonhardt, Peter Schreier, Jan Willem de Vriend, Helmuth Rilling, Michel Corboz and Sir Colin Davis. He has also performed in a number of operatic roles, including Alfred in ""Die Fledermaus"" by Johann Strauss, Sellem in Igor Stravinsky\'s ""The Rake\'s Progress"", Pedrillo in Mozart\'s ""Die Entführung aus dem Serail"" under Christopher Hogwood, among others. He is a member of the group Camerata Trajectina and conducts the William Byrd Vocal Ensemble, which specializes in a cappella music from the 16th to the 20th century.'
 'The Rake\'s Progress is an opera in three acts and an epilogue by Igor Stravinsky. The libretto, written by W. H. Auden and Chester Kallman, is based loosely on the eight paintings and engravings ""A Rake\'s Progress"" (1733–1735) of William Hogarth, which Stravinsky had seen on 2 May 1947, in a Chicago exhibition.']",2,['p000167' 'p000169']
hotpot_5ae2075f5542994d89d5b315,hotpotqa,What is Gary Cole's character based on?,"['the Hanna-Barbera show ""Birdman and the Galaxy Trio.""']",multi,prose,['Gary Cole' 'Harvey Birdman'],"['Gary Michael Cole (born September 20, 1956) is an American actor. Cole began his professional acting career on stage at Chicago\'s Steppenwolf Theatre Company in 1985. On television, he had starring roles in the series ""Midnight Caller"", ""American Gothic"", ""Crusade"", and ""Veep"". In film, Cole appeared in ""The Brady Bunch Movie"", ""One Hour Photo"", ""Office Space"", """", and """". Cole is also known for voicing the title character of ""Harvey Birdman, Attorney at Law"".'
 'Harvey Birdman is a fictional character based on the superhero Birdman from the Hanna-Barbera show ""Birdman and the Galaxy Trio."" He is depicted as an attorney on ""Harvey Birdman, Attorney at Law"".']",2,['p000177' 'p000179']
hotpot_5ab416a25542996a3a969f28,hotpotqa,"Where was the Danish colony, in which the Scandinavian Collectors Club claims as part of their region and includes the islands of Saint Thomas, located?",['Caribbean'],multi,prose,['Danish West Indies' 'Scandinavian Collectors Club'],"['The Danish West Indies (Danish: ""Dansk Vestindien"" ) or Danish Antilles was a Danish colony in the Caribbean, consisting of the islands of Saint Thomas with 32 sqmi ; Saint John with 19 sqmi ; and Saint Croix with 84 sqmi . The Danish West India Guinea Company annexed the uninhabited island of Saint Thomas'
 'The Scandinavian Collectors Club is a United States-based philatelic society dedicated to the collection and study of the postage stamps and postal history of the Scandinavia region, including the geographical regions of Åland, Aunus, the Danish West Indies, Denmark, the Faroes, Finland, Greenland, Iceland, Karelia, North Ingermanland, Norway, Slesvig, and Sweden.']",2,['p000183' 'p000185']
hotpot_5adf9d135542995534e8c817,hotpotqa,Are Des Moines International Airport and Grand Canyon National Park Airport both major airline hubs?,['no'],multi,prose,['Des Moines International Airport' 'Grand Canyon National Park Airport'],"['Des Moines International Airport (IATA: DSM, ICAO: KDSM, FAA LID: DSM) is a civil-military public airport three miles southwest of Des Moines, in Polk County, Iowa, United States. It has 19 connections to major airline hubs.'
 'Grand Canyon National Park Airport (IATA: GCN, ICAO: KGCN, FAA LID: GCN) is a state-owned public-use airport located in Tusayan, a CDP in unincorporated Coconino County, Arizona, United States. It is near Grand Canyon National Park, seven miles (11 km) from the South Rim of the Grand Canyon. The airport is primarily used for scenic tours and charter flights, but there is scheduled commercial service.']",2,['p000190' 'p000199']
